id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;preferred_foot;weak_foot(1-5);skill_moves(1-5);club_team
189332;Jordi Alba;Jordi Alba Ramos;21.03.1989;170.18;68;LB;Spain;87;Left;3;3;FC Barcelona
189509;Thiago;Thiago Alcântara do Nascimento;11.04.1991;175.26;69.9;CM;Spain;87;Right;3;5;FC Bayern München
192387;C. Immobile;Ciro Immobile;20.02.1990;185.42;84.8;ST;Italy;87;Right;4;3;Lazio
193041;K. Navas;Keylor Navas;15.12.1986;185.42;79.8;GK;Costa Rica;87;Right;3;1;Real Madrid
197781;Isco;Francisco Román Alarcón Suárez;21.04.1992;175.26;78.9;CAM;Spain;87;Right;3;4;Real Madrid
198710;J. Rodríguez;James David Rodríguez Rubio;12.07.1991;154.94;74.8;CAM;Colombia;87;Left;3;4;FC Bayern München
200145;Casemiro;Carlos Henrique Venancio Casimiro;23.02.1992;185.42;83.9;CDM;Brazil;87;Right;3;2;Real Madrid
201399;M. Icardi;Mauro Emanuel Icardi Rivero;19.02.1993;154.94;74.8;ST;Argentina;87;Right;4;3;Inter
206585;Kepa;Kepa Arrizabalaga;03.10.1994;185.42;84.8;GK;Spain;84;Right;4;1;Chelsea
208670;H. Ziyech;Hakim Ziyech;19.03.1993;154.94;64.9;CAM;Morocco;84;Left;2;4;Ajax
209499;Fabinho;Fábio Henrique Tavares;23.10.1993;187.96;78;CDM;Brazil;84;Right;2;3;Liverpool
211300;A. Martial;Anthony Martial;05.12.1995;182.88;76.2;LW;France;84;Right;3;4;Manchester United
212188;T. Werner;Timo Werner;06.03.1996;154.94;74.8;ST;Germany;84;Right;4;3;RB Leipzig
212190;N. Süle;Niklas Süle;03.09.1995;195.58;97.1;CB;Germany;84;Right;3;2;FC Bayern München
212198;Bruno Fernandes;Bruno Miguel Borges Fernandes;08.09.1994;152.4;68.9;CAM;Portugal;84;Right;3;4;Portugal
212462;Alex Telles;Alex Nicolao Telles;15.12.1992;154.94;71.2;LB;Brazil;84;Left;2;3;FC Porto
216460;J. Giménez;José María Giménez de Vargas;20.01.1995;185.42;79.8;CB;Uruguay;84;Right;3;2;Atlético Madrid
216594;N. Fekir;Nabil Fekir;18.07.1993;172.72;74.8;CAM;France;84;Left;3;4;Olympique Lyonnais
220793;D. Sánchez;Davinson Sánchez;12.06.1996;187.96;78.9;CB;Colombia;84;Right;3;2;Tottenham Hotspur
220834;Marco Asensio;Marco Asensio Willemsen;21.01.1996;182.88;76.2;LW;Spain;84;Left;3;4;Real Madrid
231443;O. Dembélé;Ousmane Dembélé;15.05.1997;152.4;67.1;RW;France;84;Left;5;4;FC Barcelona
41;Iniesta;Andrés Iniesta Luján;11.05.1984;170.18;68;CM;Spain;85;Right;4;4;Vissel Kobe
41236;Z. Ibrahimovi?;Zlatan Ibrahimovi?;03.10.1981;195.58;94.8;ST;Sweden;85;Right;4;5;LA Galaxy
205498;Jorginho;Luiz Frello Filho Jorge;20.12.1991;154.94;67.1;CM;Italy;83;Right;3;3;Chelsea
205678;E. Viš?a;Edin Viš?a;17.02.1990;172.72;63;RM;Bosnia Herzegovina;83;Right;4;4;Medipol Ba?ak?ehir FK
206113;S. Gnabry;Serge Gnabry;14.07.1995;175.26;74.8;LM;Germany;83;Right;4;4;FC Bayern München
207410;M. Kova?i?;Mateo Kova?i?;06.05.1994;175.26;78;CM;Croatia;83;Right;4;4;Chelsea
207566;William Carvalho;William Silva de Carvalho;07.04.1992;187.96;83;CDM;Portugal;83;Right;4;3;Real Betis
207863;Felipe;Felipe Augusto de Almeida Monteiro;16.05.1989;190.5;86.2;CB;Brazil;83;Right;3;2;FC Porto
208418;Y. Carrasco;Yannick Ferreira Carrasco;04.09.1993;154.94;73;LM;Belgium;83;Right;4;4;Belgium
208618;Lucas Vázquez;Lucas Vázquez Iglesias;01.07.1991;172.72;69.9;RW;Spain;83;Right;4;4;Real Madrid
208808;Q. Promes;Quincy Anton Promes;04.01.1992;175.26;72.1;LM;Netherlands;83;Right;4;5;Sevilla FC
209658;L. Goretzka;Leon Goretzka;06.02.1995;187.96;78.9;CM;Germany;83;Right;4;3;FC Bayern München
210008;A. Rabiot;Adrien Rabiot;03.04.1995;193.04;79.8;CM;France;83;Left;3;3;Paris Saint-Germain
210413;A. Romagnoli;Alessio Romagnoli;12.01.1995;187.96;78;CB;Italy;83;Left;3;2;Milan
210514;João Cancelo;João Pedro Cavaco Cancelo;27.05.1994;182.88;73.9;RB;Portugal;83;Right;3;4;Juventus
212523;Anderson Talisca;Anderson Souza Conceição;01.02.1994;190.5;79.8;CAM;Brazil;83;Left;4;4;Guangzhou Evergrande Taobao FC
213345;K. Coman;Kingsley Coman;13.06.1996;152.4;71.2;LM;France;83;Right;3;5;FC Bayern München
213565;T. Lemar;Thomas Lemar;12.11.1995;170.18;62.1;LM;France;83;Left;2;4;Atlético Madrid
213331;J. Tah;Jonathan Tah;11.02.1996;195.58;97.1;CB;Germany;82;Right;4;2;Bayer 04 Leverkusen
216409;M. Politano;Matteo Politano;03.08.1993;170.18;67.1;RM;Italy;82;Left;4;4;Inter
220440;C. Lenglet;Clément Lenglet;17.06.1995;185.42;81.2;CB;France;82;Left;4;2;FC Barcelona
221087;Pau López;Pau López Sabata;13.12.1994;187.96;77.1;GK;Spain;82;Left;3;1;Real Betis
221992;H. Lozano;Hirving Rodrigo Lozano Bahena;30.07.1995;175.26;69.9;RW;Mexico;82;Right;4;4;PSV
222737;Malcom;Malcom Filipe Silva de Oliveira;26.02.1997;172.72;73.9;RW;Brazil;82;Left;4;4;FC Barcelona
223959;L. Torreira;Lucas Torreira Di Pascua;11.02.1996;167.64;64;CDM;Uruguay;82;Right;3;3;Arsenal
224411;Gonçalo Guedes;Gonçalo Manuel Ganchinho Guedes;29.11.1996;152.4;68;LM;Portugal;82;Right;4;4;Valencia CF
226226;G. Lo Celso;Giovani Lo Celso;09.04.1996;175.26;69.9;CM;Argentina;82;Left;3;4;Real Betis
226271;Fabián;Fabián Ruiz Peña;03.04.1996;187.96;69.9;CM;Spain;82;Left;4;4;Napoli
228702;F. de Jong;Frenkie de Jong;12.05.1997;154.94;69.9;CM;Netherlands;82;Right;3;4;Ajax
230168;Raphaelito Anjos;Raphael William Anjos Rochedo;29.02.1988;190.5;84.8;GK;Brazil;82;Right;2;1;Grêmio
230225;Juiano Mestres;Juan Everton Mestres de Mesquita;29.02.1984;154.94;82.1;CB;Brazil;82;Right;3;2;Cruzeiro
230258;Rosberto Dourado;Rosberto J. Dourado Santos;29.02.1988;175.26;69.9;CDM;Brazil;82;Right;4;2;Atlético Mineiro
230658;Arthur;Arthur Henrique Ramos Oliveira Melo;12.08.1996;170.18;73;CM;Brazil;82;Right;3;4;FC Barcelona
231866;Rodri;Rodrigo Hernández Cascante;22.06.1996;190.5;82.1;CM;Spain;82;Right;3;4;Atlético Madrid
183498;M. Parolo;Marco Parolo;25.01.1985;182.88;74.8;CDM;Italy;82;Right;4;3;Lazio
183574;M. Kruse;Max Kruse;19.03.1988;154.94;76.2;CF;Germany;82;Left;4;4;SV Werder Bremen
183711;J. Henderson;Jordan Brian Henderson;17.06.1990;182.88;79.8;CDM;England;82;Right;3;3;Liverpool
184144;N. Gaitán;Osvaldo Nicolás Fabián Gaitán;23.02.1988;172.72;66.2;CAM;Argentina;82;Left;2;4;Dalian YiFang FC
184200;M. Arnautovi?;Marko Arnautovi?;19.04.1989;193.04;83;ST;Austria;82;Right;4;4;West Ham United
184431;S. Giovinco;Sebastian Giovinco;26.01.1987;162.56;60.8;CF;Italy;82;Right;4;4;Italy
184484;G. Sigurðsson;Gylfi Þór Sigurðsson;08.09.1989;185.42;77.1;CAM;Iceland;82;Right;4;3;Everton
184942;Giuliano;Giuliano Victor de Paula;31.05.1990;172.72;68;CAM;Brazil;82;Right;3;4;Al Nassr
185122;P. Gulácsi;Péter Gulácsi;06.05.1990;193.04;86.2;GK;Hungary;82;Right;2;1;RB Leipzig
185221;Luiz Gustavo;Luiz Gustavo Dias;23.07.1987;187.96;78;CDM;Brazil;82;Left;3;3;Olympique de Marseille
186345;K. Trippier;Kieran Trippier;19.09.1990;152.4;72.1;RB;England;82;Right;4;3;Tottenham Hotspur
186561;A. Ramsey;Aaron Ramsey;26.12.1990;182.88;76.2;CM;Wales;82;Right;3;3;Arsenal
186627;M. Balotelli;Mario  Barwuah Balotelli;12.08.1990;187.96;88;ST;Italy;82;Right;4;4;Olympique de Marseille
187754;Marlos;Marlos Romero Bonfim;07.06.1988;175.26;68.9;RM;Ukraine;82;Left;4;5;Shakhtar Donetsk
188803;Taison;Taison Barcellos Freda;13.01.1988;172.72;64;LM;Brazil;82;Right;3;4;Shakhtar Donetsk
189125;G. Bonaventura;Giacomo Bonaventura;22.08.1989;154.94;74.8;CM;Italy;82;Right;3;4;Milan
201455;G. Kondogbia;Geoffrey Kondogbia;15.02.1993;187.96;79.8;CM;Central African Rep.;81;Left;2;4;Valencia CF
202562;J. Roussillon;Jérôme Roussillon;06.01.1993;175.26;79.8;LB;France;81;Left;3;3;VfL Wolfsburg
202685;S. Zaza;Simone Zaza;25.06.1991;185.42;83.9;ST;Italy;81;Left;3;4;Torino
203890;S. Vrsaljko;Šime Vrsaljko;10.01.1992;154.94;76.2;RB;Croatia;81;Right;3;3;Inter
204024;C. Kramer;Christoph Kramer;19.02.1991;190.5;76.2;CDM;Germany;81;Right;3;3;Borussia Mönchengladbach
204884;B. Mendy;Benjamin Mendy;17.07.1994;185.42;84.8;LB;France;81;Left;3;3;Manchester City
204923;M. Sabitzer;Marcel Sabitzer;17.03.1994;152.4;77.1;CAM;Austria;81;Right;4;3;RB Leipzig
205362;M. Nastasi?;Matija Nastasi?;28.03.1993;187.96;83;CB;Serbia;81;Left;2;2;FC Schalke 04
206467;A. Plea;Alassane Plea;10.03.1993;154.94;78.9;ST;France;81;Right;3;4;Borussia Mönchengladbach
207862;M. Ginter;Matthias Ginter;19.01.1994;187.96;83;CB;Germany;81;Right;3;2;Borussia Mönchengladbach
208093;Gerard Moreno;Gerard Moreno Balagueró;07.04.1992;154.94;77.1;ST;Spain;81;Left;4;4;Villarreal CF
208135;A. Doucouré;Abdoulaye Doucouré;01.01.1993;182.88;76.2;CDM;France;81;Right;3;3;Watford
209889;R. Guerreiro;Raphaël Guerreiro;22.12.1993;170.18;71.2;LM;Portugal;81;Left;2;4;Borussia Dortmund
210243;Ricardo Pereira;Ricardo Barbosa Pereira;06.10.1993;175.26;69.9;RB;Portugal;81;Right;4;3;Leicester City
210617;Samu Castillejo;Samuel Castillejo Azuaga;18.01.1995;182.88;67.1;RM;Spain;81;Left;2;4;Milan
212194;J. Brandt;Julian Brandt;02.05.1996;185.42;83.9;LM;Germany;81;Right;4;4;Bayer 04 Leverkusen
226110;N. Pépé;Nicolas Pépé;29.05.1995;182.88;73;RM;Ivory Coast;80;Left;3;4;LOSC Lille
225953;S. Bergwijn;Steven Bergwijn;08.10.1997;152.4;78;LW;Netherlands;80;Right;2;4;PSV
226753;A. Onana;André Onana;02.04.1996;187.96;93;GK;Cameroon;80;Right;3;1;Ajax
228229;F. Balbuena;Fabián Balbuena;23.08.1991;187.96;84.8;CB;Paraguay;80;Right;3;2;West Ham United
228941;André Silva;André Miguel Valente da Silva;06.11.1995;185.42;78.9;ST;Portugal;80;Right;3;4;Sevilla FC
230142;Oyarzabal;Mikel Oyarzabal Ugarte;21.04.1997;154.94;78;LW;Spain;80;Left;3;3;Real Sociedad
230234;Everton Andrão;Everton Jorge Andrade Zanon;29.02.1984;152.4;74.8;CDM;Brazil;80;Right;4;2;Fluminense
230347;Welington Dano;Welington Kauê Dano Nascimento;29.02.1988;152.4;68.9;LB;Brazil;80;Left;4;4;Cruzeiro
231943;Richarlison;Richarlison de Andrade;10.05.1997;154.94;71.2;ST;Brazil;80;Right;5;4;Everton
234035;Odriozola;Álvaro Odriozola Arzalluz;14.12.1995;175.26;66.2;RB;Spain;80;Right;3;3;Real Madrid
234153;Carlos Soler;Carlos Soler Barragán;02.01.1997;154.94;76.2;RM;Spain;80;Right;4;4;Valencia CF
234906;H. Aouar;Houssem Aouar;30.06.1998;175.26;69.9;CM;France;80;Right;4;4;Olympique Lyonnais
235569;T. Ndombele;Tanguy NDombèlé Alvaro;28.12.1996;154.94;76.2;CM;France;80;Right;3;4;Olympique Lyonnais
239207;M. Gómez;Maximiliano Gómez;14.08.1996;185.42;83.9;ST;Uruguay;80;Right;3;4;RC Celta
45186;Joaquín;Joaquín Sánchez Rodríguez;21.07.1981;152.4;74.8;LM;Spain;81;Right;3;4;Real Betis
112316;J. Mathieu;Jérémy Mathieu;29.10.1983;187.96;83.9;CB;France;81;Left;2;2;Sporting CP
197061;J. Matip;Joël Andre Job Matip;08.08.1991;193.04;89.8;CB;Cameroon;80;Right;2;2;Liverpool
197853;S. Aurier;Serge Aurier;24.12.1992;175.26;76.2;RB;Ivory Coast;80;Right;3;3;Tottenham Hotspur
198118;J. Guilavogui;Josuha Guilavogui;19.09.1990;187.96;77.1;CDM;France;80;Right;3;2;VfL Wolfsburg
198784;A. Oxlade-Chamberlain;Alex Oxlade-Chamberlain;15.08.1993;175.26;69.9;CM;England;80;Right;4;4;Liverpool
199005;M. Ryan;Mathew Ryan;08.04.1992;182.88;82.1;GK;Australia;80;Right;4;1;Brighton & Hove Albion
199069;V. Aboubakar;Vincent Paté Aboubakar;22.01.1992;182.88;82.1;ST;Cameroon;80;Right;3;5;Cameroon
199110;L. Muriel;Luis Fernando Muriel Fruto;16.04.1991;152.4;78.9;ST;Colombia;80;Right;4;4;Fiorentina
199206;D. Vida;Domagoj Vida;29.04.1989;182.88;76.2;CB;Croatia;80;Right;3;2;Be?ikta? JK
199416;Ibai Gómez;Ibai Gómez Pérez;11.11.1989;152.4;72.1;RM;Spain;80;Right;5;3;Athletic Club de Bilbao
200315;Cristian Tello;Cristian Tello Herrera;19.08.1991;152.4;64.9;LM;Spain;80;Right;4;4;Real Betis
201119;Ismaily;Ismaily Gonçalves dos S.;11.01.1990;152.4;82.1;LB;Brazil;80;Left;2;4;Shakhtar Donetsk
201143;A. Mandi;Aïssa Mandi;22.10.1991;182.88;78;CB;Algeria;80;Right;3;2;Real Betis
201325;C. T?t?ru?anu;Anton Ciprian T?t?ru?anu;09.02.1986;195.58;86.2;GK;Romania;80;Right;3;1;FC Nantes
201377;J. Murillo;Jeison Fabián Murillo Cerón;27.05.1992;182.88;78;CB;Colombia;80;Right;2;2;FC Barcelona
202335;E. Dier;Eric Dier;15.01.1994;187.96;89.8;CDM;England;80;Right;3;2;Tottenham Hotspur
203042;J. Butland;Jack Butland;10.03.1993;195.58;94.8;GK;England;80;Right;3;1;Stoke City
49031;S. Sorrentino;Stefano Sorrentino;28.03.1979;185.42;84.8;GK;Italy;80;Right;3;1;Chievo Verona
54050;W. Rooney;Wayne Mark Rooney;24.10.1985;175.26;83;ST;England;80;Right;4;3;DC United
110677;Moyá;Miguel Ángel Moyá Rumbo;02.04.1984;187.96;83;GK;Spain;80;Right;2;1;Real Sociedad
142707;L. López;Lisandro López;02.03.1983;175.26;72.1;ST;Argentina;80;Right;4;4;Racing Club
142754;J. Mascherano;Javier Alejandro Mascherano;08.06.1984;175.26;73;CDM;Argentina;80;Right;3;2;Hebei China Fortune FC
144622;Raffael;Raffael Caetano de Araújo;28.03.1985;175.26;68.9;CF;Brazil;80;Right;4;4;Borussia Mönchengladbach
146748;Diego López;Diego López Rodríguez;03.11.1981;195.58;88.9;GK;Spain;80;Right;3;1;RCD Espanyol
146760;Juanfran;Juan Francisco Torres Belén;09.01.1985;154.94;71.2;RB;Spain;80;Right;3;3;Atlético Madrid
147782;I. Denisov;Igor Denisov;17.05.1984;175.26;69.9;CDM;Russia;80;Right;3;3;Lokomotiv Moscow
148119;I. Akinfeev;Igor Akinfeev;08.04.1986;185.42;78;GK;Russia;80;Right;3;1;PFC CSKA Moscow
153244;A. Gignac;André-Pierre Gignac;05.12.1985;187.96;91.2;ST;France;80;Right;3;3;Tigres U.A.N.L.
156713;A. Granqvist;Andreas Granqvist;16.04.1985;193.04;83.9;CB;Sweden;80;Right;4;2;Sweden
157960;Manuel Fernandes;Manuel Henrique Tavares Fernandes;05.02.1986;175.26;74.8;LM;Portugal;80;Right;4;4;Lokomotiv Moscow
158625;Dante;Dante Bonfim da Costa Santos;18.10.1983;187.96;84.8;CB;Brazil;80;Left;4;2;OGC Nice
159147;L. Perrin;Loïc Perrin;07.08.1985;154.94;79.8;CB;France;80;Right;3;2;AS Saint-Étienne
161956;Borja Valero;Borja Valero Iglesias;12.01.1985;175.26;73;CAM;Spain;80;Right;4;4;Inter
208330;A. Januzaj;Adnan Januzaj;05.02.1995;185.42;76.2;RW;Belgium;79;Left;4;4;Real Sociedad
208334;J. Hector;Jonas Hector;27.05.1990;185.42;74.8;LB;Germany;79;Left;3;3;1. FC Köln
208498;M. Dabbur;Moanes Dabour;14.05.1992;182.88;76.2;ST;Israel;79;Right;4;4;FC Red Bull Salzburg
208777;Óliver Torres;Óliver Torres Muñoz;10.11.1994;175.26;63;CM;Spain;79;Right;4;3;FC Porto
209981;Y. Bounou;Yassine Bounou;05.04.1991;193.04;78;GK;Morocco;79;Left;3;1;Girona FC
210324;J. Hofmann;Jonas Hofmann;14.07.1992;175.26;69.9;CAM;Germany;79;Right;4;3;Borussia Mönchengladbach
210411;Otávio;Otávio Edmilson da Silva Monteiro;09.02.1995;172.72;71.2;RM;Brazil;79;Right;3;4;FC Porto
210455;Jonny;Jonathan Castro Otto;03.03.1994;170.18;69.9;LWB;Spain;79;Right;3;4;Wolverhampton Wanderers
212501;L. Dendoncker;Leander Dendoncker;15.04.1995;187.96;88;CDM;Belgium;79;Right;4;2;Wolverhampton Wanderers
213160;R. Zobnin;Roman Zobnin;11.02.1994;182.88;74.8;CDM;Russia;79;Right;3;4;Spartak Moscow
213516;Ricardo Horta;Ricardo Jorge da Luz Horta;15.09.1994;172.72;63;LM;Portugal;79;Right;3;3;SC Braga
213874;Thiago Mendes;Thiago Henrique Mendes Ribeiro;15.03.1992;152.4;79.8;CDM;Brazil;79;Right;3;4;LOSC Lille
213991;J. Lerma;Jefferson Andrés Lerma Solís;25.10.1994;152.4;69.9;CDM;Colombia;79;Right;4;3;Bournemouth
214947;J. Gbamin;Jean-Philippe Gbamin;25.09.1995;185.42;83;CDM;Ivory Coast;79;Right;3;3;1. FSV Mainz 05
215057;I. Marcone;Iván Marcone;03.06.1990;182.88;83;CDM;Argentina;79;Right;3;3;Boca Juniors
215061;D. Benedetto;Darío Benedetto;17.05.1990;152.4;79.8;ST;Argentina;79;Right;5;3;Boca Juniors
190243;M. Hitz;Marwin Hitz;18.09.1987;193.04;88.9;GK;Switzerland;79;Right;3;1;Borussia Dortmund
190456;N. Clyne;Nathaniel Edwin Clyne;05.04.1991;175.26;67.1;RB;England;79;Right;2;3;Bournemouth
190544;A. Ljaji?;Adem Ljaji?;29.09.1991;182.88;73.9;CAM;Serbia;79;Right;4;4;Be?ikta? JK
191076;J. Guðmundsson;Johann  Berg Guðmunds­son;27.10.1990;152.4;77.1;RM;Iceland;79;Left;4;4;Burnley
192598;Elkeson;Elkeson de Oliveira Cardoso;13.07.1989;154.94;77.1;ST;Brazil;79;Right;4;4;Shanghai SIPG FC
192678;Kike García;Enrique García Martínez;25.11.1989;185.42;78.9;ST;Spain;79;Right;4;3;SD Eibar
192679;Escudero;Sergio Escudero Palomo;02.09.1989;175.26;72.1;LB;Spain;79;Left;2;3;Sevilla FC
193152;Herrerín;Iago Herrerín Buisán;25.01.1988;187.96;94.8;GK;Spain;79;Right;3;1;Athletic Club de Bilbao
193469;Víctor Ruiz;Víctor Ruíz Torre;25.01.1989;185.42;78;CB;Spain;79;Left;2;2;Villarreal CF
193532;G. Medel;Gary Alexis Medel Soto;03.08.1987;170.18;64.9;CDM;Chile;79;Right;4;3;Be?ikta? JK
193738;Y. Belhanda;Younès Belhanda;25.02.1990;152.4;74.8;CAM;Morocco;79;Right;4;4;Galatasaray SK
194229;Hugo Mallo;Hugo Mallo Novegil;22.06.1991;175.26;72.1;RB;Spain;79;Right;3;3;RC Celta
194761;Borja García;Borja García Freire;02.11.1990;175.26;72.1;LM;Spain;79;Right;3;3;Girona FC
194845;W. Khazri;Wahbi Khazri;08.02.1991;175.26;82.1;ST;Tunisia;79;Right;4;4;AS Saint-Étienne
194957;P. Jones;Phil Jones;21.02.1992;185.42;71.2;CB;England;79;Right;3;2;Manchester United
195586;A. Finnbogason;Alfreð Finnbogason;01.02.1989;182.88;79.8;ST;Iceland;79;Right;4;3;FC Augsburg
238794;Vinícius Júnior;Vinícius José de Oliveira Júnior;12.07.2000;175.26;73;LW;Brazil;78;Right;4;5;Real Madrid
241184;Junior Firpo;Héctor Junior Firpo Adamés;22.08.1996;182.88;74.8;LWB;Spain;78;Left;3;3;Real Betis
80;E. Belözo?lu;Emre Belözo?lu;07.09.1980;170.18;72.1;CM;Turkey;79;Left;4;4;Medipol Ba?ak?ehir FK
49369;Fernando Torres;Fernando José Torres Sanz;20.03.1984;185.42;78.9;ST;Spain;79;Right;4;3;Sagan Tosu
121944;B. Schweinsteiger;Bastian Schweinsteiger;01.08.1984;182.88;78.9;CDM;Germany;79;Right;3;3;Chicago Fire
124375;B. Y?lmaz;Burak Y?lmaz;15.07.1985;187.96;77.1;ST;Turkey;79;Right;3;3;Be?ikta? JK
150418;M. Gómez;Mario Gómez García;10.07.1985;187.96;88.9;ST;Germany;79;Right;4;3;VfB Stuttgart
152908;A. Young;Ashley Young;09.07.1985;175.26;64.9;RB;England;79;Right;3;4;Manchester United
157301;R. Babel;Ryan Guno Babel;19.12.1986;185.42;84.8;LW;Netherlands;79;Right;3;4;Fulham
158121;B. Costil;Benoît Costil;03.07.1987;187.96;88;GK;France;79;Right;3;1;FC Girondins de Bordeaux
158232;S. Kalou;Salomon Armand Magloire Kalou;05.08.1985;182.88;77.1;LM;Ivory Coast;79;Right;3;4;Hertha BSC
159065;E. Lavezzi;Ezequiel Iván Lavezzi;03.05.1985;172.72;74.8;ST;Argentina;79;Right;4;4;Hebei China Fortune FC
161648;H. Ben Arfa;Hatem Ben Arfa;07.03.1987;152.4;73.9;CAM;France;79;Left;4;5;Stade Rennais FC
163155;B. Foster;Ben Foster;03.04.1983;193.04;89.8;GK;England;79;Left;3;1;Watford
163264;T. Heaton;Tom Heaton;15.04.1986;187.96;92.1;GK;England;79;Right;3;1;Burnley
164029;Charles;Charles Dias De Oliveira;04.04.1984;152.4;74.8;ST;Brazil;79;Right;3;4;SD Eibar
164468;G. Cahill;Gary Cahill;19.12.1985;193.04;88;CB;England;79;Right;3;2;Chelsea
213655;A. Iwobi;Alex Iwobi;03.05.1996;185.42;74.8;LM;Nigeria;78;Right;3;4;Arsenal
213666;R. Loftus-Cheek;Ruben Loftus-Cheek;23.01.1996;190.5;88;CM;England;78;Right;3;4;Chelsea
213732;A. Selikhov;Alexandr Selikhov;07.04.1994;187.96;84.8;GK;Russia;78;Right;4;1;Spartak Moscow
214026;J. Mojica;Johan Andrés Mojica Palacio;21.08.1992;185.42;73;LWB;Colombia;78;Left;2;3;Girona FC
214394;W. Barrios;Wílmar Enrique Barrios Terán;16.10.1993;152.4;71.2;CDM;Colombia;78;Right;3;3;Colombia
214766;C. Izquierdoz;Carlos Roberto Izquierdoz;03.11.1988;185.42;88.9;CB;Argentina;78;Right;2;2;Boca Juniors
215223;W. Benítez;Walter Benítez;19.01.1993;190.5;91.2;GK;Argentina;78;Right;2;1;OGC Nice
215466;N. Maksimovi?;Nikola Maksimovi?;25.11.1991;193.04;87.1;CB;Serbia;78;Right;3;2;Napoli
215716;A. Mitrovi?;Aleksandar Mitrovi?;16.09.1994;187.96;82.1;ST;Serbia;78;Right;4;3;Fulham
216065;M. Sportiello;Marco Sportiello;10.05.1992;193.04;87.1;GK;Italy;78;Right;2;1;Frosinone
216189;Capa;Ander Capa Rodríguez;14.05.1992;175.26;74.8;RB;Spain;78;Right;4;3;Athletic Club de Bilbao
216373;Marcelo Goiano;Marcelo Augusto Ferreira Teixeira;13.10.1987;175.26;68.9;RB;Brazil;78;Right;4;3;SC Braga
216393;Y. Tielemans;Youri Tielemans;07.05.1997;175.26;72.1;CM;Belgium;78;Right;5;4;Leicester City
216435;S. Lobotka;Stanislav Lobotka;25.11.1994;170.18;64;CM;Slovakia;78;Right;4;4;RC Celta
216497;M. Philipp;Maximilian Philipp;01.03.1994;182.88;78.9;ST;Germany;78;Right;4;4;Borussia Dortmund
216643;L. Dubois;Léo Dubois;14.09.1994;152.4;73;RB;France;78;Right;4;3;Olympique Lyonnais
